incident_id,service,root_cause,severity_num,text_length,kw_timeout,kw_connection_reset,kw_under_replicated,kw_oomkilled,kw_crashloopbackoff,kw_connection_pool,kw_consumer_lag,kw_http_500,kw_machine_check,kw_not_responding,kw_database,kw_kafka
RAW-INC-0001,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0002,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0003,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0004,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0005,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0006,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0007,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0008,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0009,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0010,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0011,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0012,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0013,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0014,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0015,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0016,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0017,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0018,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0019,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0020,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0021,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0022,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0023,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0024,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0025,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0026,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0027,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0028,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0029,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0030,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0031,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0032,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0033,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0034,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0035,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0036,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0037,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0038,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0039,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0040,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0041,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0042,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0043,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0044,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0045,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0046,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0047,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0048,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0049,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0050,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0051,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0052,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0053,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0054,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0055,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0056,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0057,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0058,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0059,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0060,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0061,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0062,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0063,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0064,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0065,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0066,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0067,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0068,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0069,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0070,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0071,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0072,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0073,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0074,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0075,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0076,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0077,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0078,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0079,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0080,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0081,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0082,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0083,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0084,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0085,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0086,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0087,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0088,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0089,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0090,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0091,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0092,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0093,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0094,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0095,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0096,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0097,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0098,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0099,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0100,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0101,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0102,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0103,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0104,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0105,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0106,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0107,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0108,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0109,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0110,bgl-kernel,No strong failure pattern detected,3,185,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0111,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0112,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0113,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0114,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0115,bgl-kernel,No strong failure pattern detected,3,195,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0116,bgl-kernel,No strong failure pattern detected,3,184,0,0,0,0,0,0,0,0,0,0,0,0
RAW-INC-0117,bgl-kernel,No strong failure pattern detected,3,186,0,0,0,0,0,0,0,0,0,0,0,0
